flight,time,event_type,previous_state,current_state,sensor_value
1,3,STATE_CHANGE,PARKED,TAXI,
1,6,STATE_CHANGE,TAXI,TAKEOFF,
1,8,STATE_CHANGE,TAKEOFF,CLIMB,
1,12,EXCESSIVE_PITCH,,,24.9717
1,15,STATE_CHANGE,CLIMB,CRUISE,
1,21,STATE_CHANGE,CRUISE,DESCENT,
1,30,STATE_CHANGE,DESCENT,LANDING,
1,37,STATE_CHANGE,LANDING,PARKED,
2,3,STATE_CHANGE,PARKED,TAXI,
2,6,STATE_CHANGE,TAXI,TAKEOFF,
2,9,STATE_CHANGE,TAKEOFF,CLIMB,
2,12,EXCESSIVE_PITCH,,,24.8136
2,15,STATE_CHANGE,CLIMB,CRUISE,
2,21,STATE_CHANGE,CRUISE,DESCENT,
2,30,STATE_CHANGE,DESCENT,LANDING,
2,37,STATE_CHANGE,LANDING,PARKED,
3,3,STATE_CHANGE,PARKED,TAXI,
3,6,STATE_CHANGE,TAXI,TAKEOFF,
3,9,STATE_CHANGE,TAKEOFF,CLIMB,
3,12,EXCESSIVE_PITCH,,,25.0592
3,15,PITCH_NORMAL,,,9.96123
3,15,STATE_CHANGE,CLIMB,CRUISE,
3,21,STATE_CHANGE,CRUISE,DESCENT,
3,30,STATE_CHANGE,DESCENT,LANDING,
3,37,STATE_CHANGE,LANDING,PARKED,
4,3,STATE_CHANGE,PARKED,TAXI,
4,6,STATE_CHANGE,TAXI,TAKEOFF,
4,8,STATE_CHANGE,TAKEOFF,CLIMB,
4,10,STATE_CHANGE,CLIMB,CRUISE,
4,11,STATE_CHANGE,CRUISE,CLIMB,
4,12,EXCESSIVE_PITCH,,,25.1681
4,15,PITCH_NORMAL,,,9.78013
4,16,STATE_CHANGE,CLIMB,CRUISE,
4,21,STATE_CHANGE,CRUISE,DESCENT,
4,30,STATE_CHANGE,DESCENT,LANDING,
4,37,STATE_CHANGE,LANDING,PARKED,
5,3,STATE_CHANGE,PARKED,TAXI,
5,6,STATE_CHANGE,TAXI,TAKEOFF,
5,9,STATE_CHANGE,TAKEOFF,CLIMB,
5,10,ALTITUDE_FAULT,,,1500
5,10,STATE_CHANGE,CLIMB,CRUISE,
5,11,ALTITUDE_FAULT,,,500.732
5,11,STATE_CHANGE,CRUISE,CLIMB,
5,12,EXCESSIVE_PITCH,,,25.0623
5,15,PITCH_NORMAL,,,9.95385
5,16,STATE_CHANGE,CLIMB,CRUISE,
5,21,STATE_CHANGE,CRUISE,DESCENT,
5,30,STATE_CHANGE,DESCENT,LANDING,
5,37,STATE_CHANGE,LANDING,PARKED,
6,3,STATE_CHANGE,PARKED,TAXI,
6,6,STATE_CHANGE,TAXI,TAKEOFF,
6,9,STATE_CHANGE,TAKEOFF,CLIMB,
6,10,ALTITUDE_FAULT,,,1500
6,10,STATE_CHANGE,CLIMB,CRUISE,
6,11,STATE_CHANGE,CRUISE,CLIMB,
6,12,EXCESSIVE_PITCH,,,25.4657
6,15,PITCH_NORMAL,,,10.2676
6,16,STATE_CHANGE,CLIMB,CRUISE,
6,21,STATE_CHANGE,CRUISE,DESCENT,
6,30,STATE_CHANGE,DESCENT,LANDING,
6,37,STATE_CHANGE,LANDING,PARKED,
7,3,STATE_CHANGE,PARKED,TAXI,
7,6,STATE_CHANGE,TAXI,TAKEOFF,
7,9,STATE_CHANGE,TAKEOFF,CLIMB,
7,10,ALTITUDE_FAULT,,,1500
7,11,ALTITUDE_FAULT,,,601.959
7,12,ALTITUDE_FAULT,,,700.566
7,12,EXCESSIVE_PITCH,,,25.169
7,13,ALTITUDE_FAULT,,,800.506
7,14,ALTITUDE_FAULT,,,899.991
7,15,ALTITUDE_FAULT,,,1000.95
7,15,PITCH_NORMAL,,,9.55711
7,16,ALTITUDE_FAULT,,,1099.39
7,17,ALTITUDE_FAULT,,,1200.98
7,18,ALTITUDE_FAULT,,,1300.89
7,19,ALTITUDE_FAULT,,,1399.14
7,20,ALTITUDE_FAULT,,,1501.32
7,21,ALTITUDE_FAULT,,,1599.77
7,22,ALTITUDE_FAULT,,,1698.15
7,23,ALTITUDE_FAULT,,,1798.2
7,24,ALTITUDE_FAULT,,,1898.74
7,25,ALTITUDE_FAULT,,,2001.5
7,26,ALTITUDE_FAULT,,,2099.85
7,27,ALTITUDE_FAULT,,,2201.31
7,28,ALTITUDE_FAULT,,,2298.1
7,29,ALTITUDE_FAULT,,,2399.94
7,30,ALTITUDE_FAULT,,,2498.55
7,31,ALTITUDE_FAULT,,,2599.14
7,32,ALTITUDE_FAULT,,,2701.58
7,33,ALTITUDE_FAULT,,,2799.39
7,34,ALTITUDE_FAULT,,,2900.86
7,35,ALTITUDE_FAULT,,,2998.35
7,36,ALTITUDE_FAULT,,,3098.42
7,37,ALTITUDE_FAULT,,,3201.58
7,38,ALTITUDE_FAULT,,,3300.98
7,39,ALTITUDE_FAULT,,,3398.28
7,40,ALTITUDE_FAULT,,,3501.59
8,3,STATE_CHANGE,PARKED,TAXI,
8,6,STATE_CHANGE,TAXI,TAKEOFF,
8,8,STATE_CHANGE,TAKEOFF,CLIMB,
8,10,ALTITUDE_FAULT,,,1500
8,12,EXCESSIVE_PITCH,,,25.4232
